pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,daily_shedding,treatment,total_shedding
345,14,26.14,NA,NA,NA,NA,NA,NA,3.91202300542815,control,26.850633170402052
419,14,24.5,NA,NA,NA,NA,NA,NA,3.91202300542815,control,36.59705005747277
458,14,18.64,NA,NA,NA,NA,NA,NA,3.91202300542815,control,29.57416254674479
50,14,19.8,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,33.731621924172785
93,14,23.44,NA,NA,NA,NA,NA,NA,5.29831736654804,RPS,29.801029995663978
97,14,19.22,NA,NA,NA,NA,NA,NA,0,RPS,0
181,14,27.82,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,11.892790030352142
244,14,22.12,NA,NA,NA,NA,NA,NA,6.10924758276437,RPS,34.289186367723836
321,14,22.22,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,16.140215041192192
355,14,22.48,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,25.586610056368258
373,14,25.52,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,23.140215041192192
392,14,22.04,NA,NA,NA,NA,NA,NA,0,RPS,19.640215041192192
26,14,18.54,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,22.086610056368258
52,14,28,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,22.086610056368258
126,14,19.42,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,36.4638061389427
152,14,22.74,NA,NA,NA,NA,NA,NA,6.47697236288968,Acid,32.758586691881746
178,14,27.16,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,23.892790030352142
211,14,22.52,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,24.94639501517607
348,14,21.24,NA,NA,NA,NA,NA,NA,5.7037824746562,Acid,43.922890631518825
361,14,14.58,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,34.130710101078876
378,14,24.56,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,22.086610056368258
426,14,26.54,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,21.558754963143834
74,14,20.46,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,28.334966167317578
83,14,31.28,NA,NA,NA,NA,NA,NA,5.29831736654804,Zn+Cu,47.57935487642343
219,14,18.4,NA,NA,NA,NA,NA,NA,6.21460809842219,Zn+Cu,43.759477017397224
265,14,22.12,NA,NA,NA,NA,NA,NA,6.90775527898214,Zn+Cu,37.17286696102896
